replicate,day,treatment,ID,mounts,inseminations,male_mounts,female_mounts,attempt_avoid,success_avoid,aborts,possible_aborts,oppo_sex_strength
2,both,social,D,45,5,14,31,12,6,20,25,0.8666667
2,1,isolated,E,38,1,14,24,17,15,8,9,NA
2,2,isolated,E,13,0,8,5,3,2,3,3,NA
2,both,isolated,E,51,1,22,29,20,17,11,12,0.627451
2,1,isolated,F,39,6,7,32,4,2,24,30,NA
2,2,isolated,F,15,0,8,7,2,2,5,5,NA
2,both,isolated,F,54,6,15,39,6,4,29,35,1.9121261
2,1,isolated,G,21,2,9,12,3,2,8,10,NA
2,2,isolated,G,18,0,15,3,2,2,1,1,NA
2,both,isolated,G,39,2,24,15,5,4,9,11,1.0343407
2,1,isolated,H,25,1,11,14,4,2,11,12,NA
2,2,isolated,H,10,1,5,5,2,1,3,4,NA
2,both,isolated,H,35,2,16,19,6,3,14,16,1.8286173
3,1,social,A,7,2,2,5,2,1,2,4,NA
3,2,social,A,10,0,8,2,1,1,1,1,NA
3,both,social,A,17,2,10,7,3,2,3,5,0.8857303
3,1,social,B,20,0,12,8,2,1,7,7,NA
3,2,social,B,18,1,14,4,2,2,1,2,NA
3,both,social,B,38,1,26,12,4,3,8,9,1.535
3,1,social,C,33,1,29,4,0,0,3,4,NA
3,2,social,C,19,2,11,8,5,4,2,4,NA
3,both,social,C,52,3,40,12,5,4,5,8,0.9182631
3,1,social,D,39,4,10,29,4,4,21,25,NA
3,2,social,D,16,1,5,11,2,2,8,9,NA
3,both,social,D,55,5,15,40,6,6,29,34,2.5937457
3,1,isolated,E,22,3,16,6,2,1,2,5,NA
3,2,isolated,E,11,3,7,4,2,0,1,3,NA
3,both,isolated,E,33,6,23,10,4,1,3,8,1.535
3,1,isolated,F,46,5,21,25,3,2,18,23,NA
3,2,isolated,F,31,1,10,21,14,10,10,11,NA
3,both,isolated,F,77,6,31,46,17,12,28,34,0.8797324
3,1,isolated,G,19,1,15,4,1,1,2,3,NA
3,2,isolated,G,16,1,10,6,1,1,4,5,NA
3,both,isolated,G,35,2,25,10,2,2,6,8,1.535
3,1,isolated,H,23,1,7,16,7,5,10,11,NA
3,2,isolated,H,11,2,4,7,6,5,0,2,NA
3,both,isolated,H,34,3,11,23,13,10,10,13,1.0259742
4,1,social,A,15,4,6,9,3,3,2,6,NA
4,2,social,A,33,0,4,29,4,3,26,26,NA
4,both,social,A,48,4,10,38,7,6,28,32,3.6597932
4,1,social,B,24,1,14,10,3,2,7,8,NA
4,2,social,B,35,1,14,21,0,0,20,21,NA
4,both,social,B,59,2,28,31,3,2,27,29,0.6913043
4,1,social,C,18,1,12,6,1,0,4,5,NA
4,2,social,C,20,2,13,7,2,1,4,6,NA
4,both,social,C,38,3,25,13,3,1,8,11,0.9015476
4,1,social,D,25,2,17,8,4,2,4,6,NA
4,2,social,D,17,2,2,15,6,3,10,12,NA
4,both,social,D,42,4,19,23,10,5,14,18,1.1117827
4,1,isolated,E,45,4,21,24,10,6,14,18,NA
4,2,isolated,E,46,2,18,28,4,3,23,25,NA
4,both,isolated,E,91,6,39,52,14,9,37,43,0.9383607
4,1,isolated,F,43,2,24,19,6,4,13,15,NA
4,2,isolated,F,25,1,18,7,2,1,5,6,NA
4,both,isolated,F,68,3,42,26,8,5,18,21,0.6418221
4,1,isolated,G,50,0,31,19,6,6,13,13,NA
4,2,isolated,G,20,2,10,10,3,2,6,8,NA
4,both,isolated,G,70,2,41,29,9,8,19,21,2.7362694
4,1,isolated,H,29,5,10,19,5,3,11,16,NA
4,2,isolated,H,18,2,8,10,2,1,7,9,NA
4,both,isolated,H,47,7,18,29,7,4,18,25,4.0118471
5,1,social,A,24,3,9,15,7,5,7,10,NA
5,2,social,A,26,2,14,12,3,1,9,11,NA
5,both,social,A,50,5,23,27,10,6,16,21,1.8230963
5,1,social,B,6,2,0,6,1,0,4,6,NA
5,2,social,B,26,2,22,4,0,0,2,4,NA
5,both,social,B,32,4,22,10,1,0,6,10,1.0062626
5,1,social,C,13,2,6,7,2,2,3,5,NA
5,2,social,C,18,3,13,5,2,1,1,4,NA
5,both,social,C,31,5,19,12,4,3,4,9,2.1195411
5,1,social,D,19,5,6,13,4,3,5,10,NA
5,2,social,D,21,1,17,4,2,2,1,2,NA
5,both,social,D,40,6,23,17,6,5,6,12,1.0904762
5,1,isolated,E,44,6,31,13,5,2,5,11,NA
5,2,isolated,E,109,4,42,67,19,11,52,56,NA
5,both,isolated,E,153,10,73,80,24,13,57,67,1.9757981
5,1,isolated,F,28,3,20,8,5,3,2,5,NA
5,2,isolated,F,31,3,10,21,6,5,13,16,NA
5,both,isolated,F,59,6,30,29,11,8,15,21,1.7653168
5,1,isolated,G,39,8,12,27,8,6,13,21,NA
5,2,isolated,G,19,4,12,7,2,2,1,5,NA
5,both,isolated,G,58,12,24,34,10,8,14,26,0.6193182
5,1,isolated,H,18,3,9,9,2,1,5,8,NA
5,2,isolated,H,17,2,12,5,1,1,2,4,NA
5,both,isolated,H,35,5,21,14,3,2,7,12,2.1195411
6,1,social,A,17,2,12,5,1,1,2,4,NA
6,2,social,A,12,2,7,5,2,0,3,5,NA
6,both,social,A,29,4,19,10,3,1,5,9,0.8676812
6,1,social,B,22,3,11,11,1,1,7,10,NA
6,2,social,B,16,0,5,11,5,3,8,8,NA
6,both,social,B,38,3,16,22,6,4,15,18,2.8219184
6,1,social,C,23,2,17,6,2,1,3,5,NA
6,2,social,C,16,3,6,10,6,4,3,6,NA
6,both,social,C,39,5,23,16,8,5,6,11,2.0653991
6,1,social,D,30,3,12,18,4,2,13,16,NA
6,2,social,D,21,3,11,10,8,6,1,4,NA
6,both,social,D,51,6,23,28,12,8,14,20,1.2948402
6,1,isolated,E,64,3,6,58,6,6,29,33,NA
6,2,isolated,E,56,4,18,38,22,16,30,33,NA
6,both,isolated,E,120,7,24,96,28,22,59,66,0.9355182
6,1,isolated,F,36,4,18,18,5,2,13,16,NA
6,2,isolated,F,23,3,8,15,9,5,7,10,NA
6,both,isolated,F,59,7,26,33,14,7,20,26,1.8320028
6,1,isolated,G,13,2,9,4,1,1,1,3,NA
6,2,isolated,G,15,2,6,9,6,6,1,3,NA
6,both,isolated,G,28,4,15,13,7,7,2,6,1.3015093
6,1,isolated,H,25,1,19,6,1,0,5,6,NA
6,2,isolated,H,29,4,22,7,3,0,3,7,NA
6,both,isolated,H,54,5,41,13,4,0,8,13,0.7262961
