replicate,day,treatment,ID,inseminations,mounts,attempt_avoid,success_avoid,prop_avoid,avoid_success,abort,abort_choice
4,2,isolated,M,2,6,3,2,0.5,0.666666667,,
4,both,isolated,M,2,8,5,4,0.625,0.8,,
4,1,isolated,N,2,4,2,1,0.5,0.5,,
4,2,isolated,N,1,3,2,2,0.666666667,1,,
4,both,isolated,N,3,7,4,3,0.571428571,0.75,,
4,1,isolated,O,1,4,4,3,1,0.75,,
4,2,isolated,O,1,6,5,4,0.833333333,0.8,,
4,both,isolated,O,2,10,9,7,0.9,0.777777778,,
4,1,isolated,P,2,4,3,2,0.75,0.666666667,,
4,2,isolated,P,1,3,1,1,0.333333333,1,,
4,both,isolated,P,3,7,4,3,0.571428571,0.75,,
3,1,social,I,0,11,10,10,0.909090909,1,,
3,2,social,I,1,2,1,1,0.5,1,,
3,both,social,I,1,13,11,11,0.846153846,1,,
3,1,social,J,1,13,8,5,0.615384615,0.625,,
3,2,social,J,0,0,0,0,NA,NA,,
3,both,social,J,1,13,8,5,0.615384615,0.625,,
3,1,social,K,0,16,6,1,0.375,0.166666667,,
3,2,social,K,1,1,1,0,1,0,,
3,both,social,K,1,17,7,1,0.411764706,0.142857143,,
3,1,social,L,0,6,4,4,0.666666667,1,,
3,2,social,L,0,0,0,0,NA,NA,,
3,both,social,L,0,6,4,4,0.666666667,1,,
3,1,isolated,M,2,5,2,2,0.4,1,,
3,2,isolated,M,3,6,5,3,0.833333333,0.6,,
3,both,isolated,M,5,11,7,5,0.636363636,0.714285714,,
3,1,isolated,N,2,27,19,16,0.703703704,0.842105263,,
3,2,isolated,N,2,10,16,16,1.6,1,,
3,both,isolated,N,4,37,35,32,0.945945946,0.914285714,,
3,1,isolated,O,4,13,23,23,1.769230769,1,,
3,2,isolated,O,0,41,8,6,0.195121951,0.75,,
3,both,isolated,O,5,54,31,29,0.574074074,0.935483871,,
3,1,isolated,P,3,20,14,10,0.7,0.714285714,,
3,2,isolated,P,1,1,0,0,0,NA,,
3,both,isolated,P,4,21,14,10,0.666666667,0.714285714,,
5,1,social,I,1,2,1,1,0.5,1,,
5,2,social,I,0,2,2,1,1,0.5,,
5,both,social,I,2,4,3,2,0.75,0.666666667,,
5,1,social,J,2,10,1,0,0.1,0,,
5,2,social,J,1,2,2,2,1,1,,
5,both,social,J,3,12,3,2,0.25,0.666666667,,
5,1,social,K,1,4,3,3,0.75,1,,
5,2,social,K,1,7,5,3,0.714285714,0.6,,
5,both,social,K,2,11,8,6,0.727272727,0.75,,
5,1,social,L,1,13,6,6,0.461538462,1,,
5,2,social,L,1,6,2,1,0.333333333,0.5,,
5,both,social,L,2,19,8,7,0.421052632,0.875,,
5,1,isolated,M,3,4,1,1,0.25,1,,
5,2,isolated,M,1,2,2,0,1,0,,
5,both,isolated,M,4,6,3,1,0.5,0.333333333,,
5,1,isolated,N,1,2,1,1,0.5,1,,
5,2,isolated,N,0,10,5,3,0.5,0.6,,
5,both,isolated,N,1,12,6,4,0.5,0.666666667,,
5,1,isolated,O,2,9,3,2,0.333333333,0.666666667,,
5,2,isolated,O,3,6,2,1,0.333333333,0.5,,
5,both,isolated,O,5,15,5,3,0.333333333,0.6,,
5,1,isolated,P,3,4,3,1,0.75,0.333333333,,
5,2,isolated,P,0,5,4,3,0.8,0.75,,
5,both,isolated,P,3,9,7,4,0.777777778,0.571428571,,
6,1,social,I,0,6,5,4,0.833333333,0.8,,
6,2,social,I,0,6,1,1,0.166666667,1,,
6,both,social,I,0,12,6,5,0.5,0.833333333,7,7
6,1,social,J,1,2,1,1,0.5,1,,
6,2,social,J,0,1,1,0,1,0,,
6,both,social,J,1,3,2,1,0.666666667,0.5,1,2
6,1,social,K,0,4,3,1,0.75,0.333333333,,
6,2,social,K,3,13,10,4,0.769230769,0.4,,
6,both,social,K,3,17,13,5,0.764705882,0.384615385,9,12
6,1,social,L,0,9,0,0,0,NA,,
6,2,social,L,2,13,7,6,0.538461538,0.857142857,,
6,both,social,L,2,22,7,6,0.318181818,0.857142857,14,16
6,1,isolated,M,2,4,0,0,0,NA,,
6,2,isolated,M,0,4,2,2,0.5,1,,
6,both,isolated,M,2,8,2,2,0.25,1,4,6
6,1,isolated,N,3,9,6,4,0.666666667,0.666666667,,
6,2,isolated,N,1,4,2,2,0.5,1,,
6,both,isolated,N,4,13,8,6,0.615384615,0.75,4,8
6,1,isolated,O,1,11,5,2,0.454545455,0.4,,
6,2,isolated,O,0,4,3,2,0.75,0.666666667,,
6,both,isolated,O,1,15,8,4,0.533333333,0.5,10,11
6,1,isolated,P,1,7,4,3,0.571428571,0.75,,
6,2,isolated,P,0,7,1,0,0.142857143,0,,
6,both,isolated,P,1,14,5,3,0.357142857,0.6,10,11
