,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,patch_partner,treatment
78,2,1:37:40 PM,1:38:19 PM,",9","8,",y,n,n,insemination,,H,M,isolated
85,2,2:50:06 PM,,",1","2,",y,n,y,mount,,B,O,isolated
46,2,8:19:05 AM,8:19:49 AM,",2","5,",n,NA,n,insemination,,F,P,isolated
50,2,10:36:04 AM,,",2","5,",n,NA,y,mount,Female right abdomen was touching wall may have been refusal position,F,P,isolated
63,2,11:31:30 AM,11:32:08 AM,",9","8,",n,NA,n,insemination,,H,M,isolated
65,2,12:23:29 PM,,",2","8,",n,NA,y,mount,,F,M,isolated
66,2,12:28:33 PM,12:30:40 PM,",1","1,",n,NA,n,insemination,,B,K,social
69,2,12:39:25 PM,12:40:20 PM,",5","1,",n,NA,n,insemination,,E,K,social
77,2,1:26:21 PM,1:26:48 PM,",0","4,",n,NA,n,insemination,,A,N,isolated
79,2,1:42:09 PM,,",6","3,",n,NA,y,mount,,C,L,social
82,2,2:10:36 PM,,",6","9,",n,NA,y,mount,,C,J,social
83,2,2:14:18 PM,2:15:04 PM,",2","2,",n,NA,n,insemination,,F,O,isolated
86,2,3:05:04 PM,,",2","8,",n,NA,y,mount,,F,M,isolated
47,2,8:28:56 AM,,",4","1,",y,y,n,insemination,,D,K,social
51,2,10:47:56 AM,,",4","2,",y,y,NA,mount,,D,O,isolated
52,2,10:49:09 AM,,",4","2,",y,y,NA,mount,,D,O,isolated
53,2,10:49:44 AM,,",1","3,",y,y,NA,mount,,B,L,social
54,2,10:52:14 AM,,",4","3,",y,y,NA,mount,,D,L,social
55,2,10:53:30 AM,,",5","3,",y,y,NA,mount,,E,L,social
56,2,10:53:50 AM,,",1","3,",y,y,NA,mount,,B,L,social
57,2,10:54:14 AM,,",4","3,",y,y,NA,mount,,D,L,social
60,2,11:06:01 AM,,",4","1,",y,y,NA,mount,"All 1, mounts were while she was in refusal position",D,K,social
61,2,11:20:26 AM,,",4","1,",y,y,NA,mount,,D,K,social
62,2,11:27:12 AM,,",1","1,",y,y,NA,mount,,B,K,social
64,2,12:18:54 PM,,",4","1,",y,y,NA,mount,,D,K,social
67,2,12:31:40 PM,,",6","8,",y,y,NA,mount,,C,M,isolated
68,2,12:33:08 PM,,",9","8,",y,y,NA,mount,,H,M,isolated
70,2,12:51:50 PM,,",3","5,",y,y,NA,mount,,G,P,isolated
71,2,12:53:37 PM,,",9","3,",y,y,NA,mount,,H,L,social
72,2,12:54:17 PM,,",4","1,",y,y,NA,mount,,D,K,social
73,2,1:06:23 PM,,",1","1,",y,y,NA,mount,,B,K,social
74,2,1:10:24 PM,,",0","4,",y,y,NA,mount,Refusal stance,A,N,isolated
76,2,1:26:04 PM,,",9","3,",y,y,NA,mount,,H,L,social
80,2,1:46:51 PM,,",2","4,",y,y,NA,mount,,F,N,isolated
81,2,1:48:59 PM,,",2","1,",y,y,NA,mount,,F,K,social
84,2,2:50:04 PM,,",4","2,",y,y,NA,mount,,D,O,isolated
87,2,3:12:25 PM,,",4","2,",y,y,NA,mount,,D,O,isolated
